813847;Falco jamaicensis;Falco jamaicensis Gmelin, 1788;Buse à queue rousse;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2630;Buteo lagopus;Buteo lagopus (Pontoppidan, 1763);Buse pattue;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2632;Falco lagopus;Falco lagopus Pontoppidan, 1763;Buse pattue;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
441671;Asturina nitida;Asturina nitida (Latham, 1790);Buse cendrée;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
626245;Buteo nitidus;Buteo nitidus (Latham, 1790);Buse cendrée;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
782522;Falco nitidus;Falco nitidus Latham, 1790;Buse cendrée;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441701;Buteo platypterus;Buteo platypterus (Vieillot, 1823);Petite Buse ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
416687;Buteo ferox;Buteo ferox Gmelin, 1771;Buse féroce;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2627;Buteo rufinus;Buteo rufinus (Cretzschmar, 1827);Buse féroce;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2629;Falco rufinus;Falco rufinus Cretzschmar, 1827;Buse féroce;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
779895;Buteo rufinus cirtensis;Buteo rufinus cirtensis (Levaillant, 1850);;Sous-espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441766;Chondrohierax uncinatus;Chondrohierax uncinatus (Temminck, 1822);Milan bec-en-croc, Bec-en-croc de Temminck;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2876;Circaetus ferox;Circaetus ferox ;Circaète Jean-le-Blanc;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2873;Circaetus gallicus;Circaetus gallicus (Gmelin, 1788);Circaète Jean-le-Blanc;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2875;Falco gallicus;Falco gallicus Gmelin, 1788;Circaète Jean-le-Blanc;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2878;Circus aeruginosus;Circus aeruginosus (Linnaeus, 1758);Busard des roseaux;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2880;Falco aeruginosus;Falco aeruginosus Linnaeus, 1758;Busard des roseaux;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
532382;Circus approximans approximans;Circus approximans approximans ;Busard de Gould;Sous-espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
432707;Circus approximans;Circus approximans Peale, 1848;Busard de Gould;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441775;Circus buffoni;Circus buffoni (Gmelin, 1788);Busard de Buffon ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2881;Circus cyaneus;Circus cyaneus (Linnaeus, 1758);Busard Saint-Martin;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
